Team,Year,Games Played,Goals Scored
Washington,2006,82,237
Washington,2007,82,235
Washington,2008,82,242
Washington,2009,82,272
Washington,2010,82,318
Washington,2011,82,224
Washington,2012,82,222
Washington,2013,48,149
Washington,2014,82,235
Washington,2015,82,242
Washington,2016,82,252
Washington,2017,82,263
Washington,2018,82,259
Washington,2019,82,278
Washington,2020,69,240
Washington,2021,56,191
Washington,2022,82,275
Washington,2023,82,255
Washington,2024,82,220
Washington,2025,82,288
Pittsburgh,2006,82,244
Pittsburgh,2007,82,277
Pittsburgh,2008,82,247
Pittsburgh,2009,82,264
Pittsburgh,2010,82,257
Pittsburgh,2011,82,238
Pittsburgh,2012,82,282
Pittsburgh,2013,48,165
Pittsburgh,2014,82,249
Pittsburgh,2015,82,221
Pittsburgh,2016,82,245
Pittsburgh,2017,82,282
Pittsburgh,2018,82,272
Pittsburgh,2019,82,273
Pittsburgh,2020,69,224
Pittsburgh,2021,56,196
Pittsburgh,2022,82,272
Pittsburgh,2023,82,262
Pittsburgh,2024,82,255
Pittsburgh,2025,82,243
NY Rangers,2006,82,257
NY Rangers,2007,82,242
NY Rangers,2008,82,213
NY Rangers,2009,82,210
NY Rangers,2010,82,222
NY Rangers,2011,82,233
NY Rangers,2012,82,226
NY Rangers,2013,48,130
NY Rangers,2014,82,218
NY Rangers,2015,82,252
NY Rangers,2016,82,236
NY Rangers,2017,82,256
NY Rangers,2018,82,231
NY Rangers,2019,82,227
NY Rangers,2020,70,234
NY Rangers,2021,56,177
NY Rangers,2022,82,254
NY Rangers,2023,82,277
NY Rangers,2024,82,282
NY Rangers,2025,82,256
NY Islanders,2006,82,230
NY Islanders,2007,82,248
NY Islanders,2008,82,194
NY Islanders,2009,82,201
NY Islanders,2010,82,222
NY Islanders,2011,82,229
NY Islanders,2012,82,203
NY Islanders,2013,48,139
NY Islanders,2014,82,225
NY Islanders,2015,82,252
NY Islanders,2016,82,232
NY Islanders,2017,82,241
NY Islanders,2018,82,264
NY Islanders,2019,82,228
NY Islanders,2020,68,192
NY Islanders,2021,56,156
NY Islanders,2022,82,231
NY Islanders,2023,82,243
NY Islanders,2024,82,246
NY Islanders,2025,82,224
Philadephia,2006,82,267
Philadephia,2007,82,214
Philadephia,2008,82,248
Philadephia,2009,82,264
Philadephia,2010,82,236
Philadephia,2011,82,259
Philadephia,2012,82,264
Philadephia,2013,48,133
Philadephia,2014,82,236
Philadephia,2015,82,215
Philadephia,2016,82,214
Philadephia,2017,82,219
Philadephia,2018,82,251
Philadephia,2019,82,244
Philadephia,2020,69,232
Philadephia,2021,56,163
Philadephia,2022,82,211
Philadephia,2023,82,222
Philadephia,2024,82,235
Philadephia,2025,82,238
Carolina,2006,82,294
Carolina,2007,82,241
Carolina,2008,82,252
Carolina,2009,82,239
Carolina,2010,82,230
Carolina,2011,82,236
Carolina,2012,82,213
Carolina,2013,48,128
Carolina,2014,82,207
Carolina,2015,82,188
Carolina,2016,82,198
Carolina,2017,82,215
Carolina,2018,82,228
Carolina,2019,82,245
Carolina,2020,68,222
Carolina,2021,56,179
Carolina,2022,82,278
Carolina,2023,82,266
Carolina,2024,82,279
Carolina,2025,82,266
New Jersey,2006,82,242
New Jersey,2007,82,216
New Jersey,2008,82,206
New Jersey,2009,82,244
New Jersey,2010,82,222
New Jersey,2011,82,174
New Jersey,2012,82,228
New Jersey,2013,48,112
New Jersey,2014,82,197
New Jersey,2015,82,181
New Jersey,2016,82,184
New Jersey,2017,82,183
New Jersey,2018,82,248
New Jersey,2019,82,222
New Jersey,2020,69,189
New Jersey,2021,56,145
New Jersey,2022,82,248
New Jersey,2023,82,291
New Jersey,2024,82,264
New Jersey,2025,82,242
Columbus,2006,82,223
Columbus,2007,82,201
Columbus,2008,82,193
Columbus,2009,82,226
Columbus,2010,82,216
Columbus,2011,82,215
Columbus,2012,82,202
Columbus,2013,48,120
Columbus,2014,82,231
Columbus,2015,82,236
Columbus,2016,82,219
Columbus,2017,82,249
Columbus,2018,82,242
Columbus,2019,82,258
